,id,title,website,source,description,block_position,timestamp
link,/m/0150yy,Urination,https://en.wikipedia.org/wiki/Urination,https://en.wikipedia.org/wiki/Urination,"Urination is the release of urine from the urinary bladder through the urethra to the outside of the body. It is the urinary system's form of excretion. It is also known medically as micturition, voiding, uresis, or, rarely, emiction, and known colloquially by various names including peeing, weeing, and pissing.",4,2023-04-21
name,/m/0150yy,Urination,https://en.wikipedia.org/wiki/Urination,Wikipedia,"Urination is the release of urine from the urinary bladder through the urethra to the outside of the body. It is the urinary system's form of excretion. It is also known medically as micturition, voiding, uresis, or, rarely, emiction, and known colloquially by various names including peeing, weeing, and pissing.",4,2023-04-21
